"CNPJ","cd_UGestora","nu_Contrato","tp_Licitacao","vl_TotalContrato","n_municipios","n_ugestora","total_ganho","perc_vitoria","idade_empresa_anos","descricao_tipo_logradouro","porte_empresa","diff_abertura_primeiro_empenho","status","media_num_contratos"
147,201001,"000112016",11,1.50934411965962,1.37748929838316,5,58.5614315969649,0.144039682073666,1.6994468881912,"RUA",1,42076800,0,0
148,601097,"164032015",11,1.50921255926526,1.37748929838316,3,33.4589034757873,0.270656852685948,1.95943559220217,"RUA",1,76982400,0,0.952224469264004
149,201003,"000152017",11,1.50918931764477,5.74518786323917,448,104.758492102802,0.534904623656322,2.80591771853363,"AVENIDA",5,376185600,0,1.68507915737244
150,610095,"101632016",10,1.50946643494647,6.08631297541701,535,111.780945335925,0.668210502974708,2.95503742617226,"RUA",5,605836800,0,1.88089949040594
151,201172,"113012016",11,1.50926191584966,4.28276801184432,93,56.776792181123,0.557102007513066,1.97540166019858,"RUA",1,4060800,0,0.886563200507864
152,201194,"000552014",2,1.50942567965447,1.59757822034814,4,52.9416604693475,0.778324793393893,3.02626190770433,"AVENIDA",1,1061596800,0,0.952224469264004
153,601050,"162012017",11,1.50917515020065,6.09169172032793,539,112.708823391376,0.66550295586131,2.95503742617226,"RUA",5,605836800,0,1.89876448853137
154,606095,"330012009",5,1.50963582711373,2.53491532024182,12,73.286138919382,0,2.88495177395846,"RUA",5,602899200,0,0
155,201148,"000022014",2,1.50922879389205,0.690941237078147,1,39.2548395667461,0.25352176122227,2.07073676513574,"RUA",1,134956800,0,0.632819540487224
156,201067,"000232017",12,1.50934302941576,6.28482381223157,657,154.564201060544,0.579464829045351,2.09562157646981,"AVENIDA",5,21859200,0,2.45964571221343
157,201053,"000162015",11,1.50919294513503,4.63447066220107,140,94.569084155355,0.521791357338185,2.1789974209216,"RUA",5,28857600,0,1.78301654607436
158,610095,"101222015",11,1.50959300565198,3.95170926349186,58,89.5978148414054,0.589367583613397,2.64265462788767,"AVENIDA",5,440812800,0,1.85736365722048
159,601075,"000142017",11,1.50928741466241,2.37163264088941,24,84.2054559178189,0.970508955823729,2.55825762024797,"AVENIDA",1,292291200,0,0.741848003480372
160,201029,"010052015",11,1.50946205601491,4.29485034842728,103,61.1691748994807,0.540938032030187,2.5558230647148,"OUTRO",9999,98064000,0,0.952224469264004
161,201138,"000082015",11,1.50909700946493,3.49781636583173,47,65.0868882695929,0.237680482339367,2.15702017865331,"AVENIDA",1,4233600,0,0.632819540487224
162,201188,"000102016",11,1.50938752011863,3.28163346599884,34,59.9184384157065,1.04799753555054,2.62602705186906,"RUA",1,273456000,0,0.711036199671177
163,201017,"000352014",12,1.50951956599352,5.13728964948932,219,126.321127402279,0.443811071615932,2.31904476535512,"AVENIDA",3,11318400,0,1.94916722168446
164,201054,"000212015",11,1.50912624166095,5.15198388700074,223,87.8029077485522,0.517687090822542,2.7922098658674,"OUTRO",3,357868800,0,1.1231011792057
165,201099,"000012014",8,1.5092769810866,3.74076046398344,46,79.7341893153946,0.236414207673656,2.10325976091977,"RUA",1,6998400,0,0.758340084301181
166,201009,"000382014",2,1.50920914621716,3.17166981557492,24,88.6725732558334,0.444969524605322,2.22900003701864,"RUA",3,7948800,0,0.812868016262367
167,201138,"000162016",11,1.5094564918534,6.14890191327816,566,146.646674415485,0.567488654054194,2.09562157646981,"AVENIDA",5,21859200,0,2.42094512540656
168,201082,"001472015",12,1.50918528853969,5.43170421491599,278,117.608785111976,0.629845622337691,2.36409863765257,"AVENIDA",5,18403200,0,1.58379725511413
169,610095,"103222017",10,1.50955875430999,3.04749444935395,22,68.0138850827662,0.900364300411,1.68958669978276,"RUA",1,47433600,0,1.47334145723897
170,201082,"003482016",11,1.50923377254427,4.99361208275333,170,59.1231880559121,0.455065498701542,2.55197849637765,"AVENIDA",1,95904000,0,0.632819540487224
171,201019,"000232016",11,1.50938158509389,2.73751744767466,16,51.5022629213525,1.04799753555054,2.38028776792835,"RUA",5,1814400,0,0.632819540487224
172,610095,"000722014",11,1.50952432047329,2.37163264088941,12,45.25815304393,0.513274053152673,2.8047479849996,"RUA",5,394588800,0,0.632819540487224
173,201145,"000032015",11,1.50943475846599,3.2097389369288,34,83.4468027607762,0.716727464902721,2.20624452169552,"AVENIDA",5,29289600,0,1.06487295939814
174,201011,"000392016",11,1.50920794697135,2.37163264088941,10,40.0328163642716,1.04799753555054,2.36690236586041,"RUA",1,41644800,0,0.632819540487224
175,201180,"000172017",11,1.50915725961477,1.92859112132035,6,29.1419762932168,0.740163710591486,1.61518537514347,"RUA",9999,81907200,0,0
176,201139,"000442015",11,1.50912056249285,2.05967211681634,7,41.7927319949921,1.04799753555054,1.70311021185991,"RUA",1,1209600,0,0
177,610095,"106602016",7,1.50946531828152,4.19360486976686,80,94.018246920415,0.373685667478703,2.31401243249379,"AVENIDA",5,21340800,0,1.07929598867018
178,201087,"000302015",2,1.50943551314313,1.09307760303944,2,41.3454823499873,0.689431576130922,1.66817915170372,"RUA",3,29203200,0,0.632819540487224
179,201001,"001172014",11,1.50946390563547,1.92859112132035,9,56.4252017377669,0.740163710591486,1.76494626854894,"RUA",5,19353600,0,1.15877734982604
